id,dataset,question,option_0,option_1,option_2,option_3,probing_accuracy,logits,prediction,gold,bertscore_f1,heuristic_dependence_score,reasoning_score,context_fidelity_score,shap_score,contrastive_prediction_original,contrastive_prediction_swapped,contrastive_robust
1250,RACE-H,The old lady was surprised to find the front door open because   _  .,she had told the maid to shut it,she had shut the door herself,she saw the maid shut it,the maid was not usually careful,0.48,"[-18.032224111258984, -17.763458728790283, -24.785699158906937, -30.92881441116333]",1,1,1.0,1.0,1.087,0.0,1.317,B,C,False
1251,RACE-H,She realized burglars had been in the flat when   _  .,she found the front door open,she saw the living room was out of order,she found the burglars quarrelling among themselves,she saw a body by her desk,0.48,"[-17.22748677432537, -29.122044801712036, -33.8007588381879, -28.3456209897995]",0,1,0.9139413,1.0,1.217,0.0,1.657,A,D,False
1252,RACE-H,"The first thing she wanted to do, after she was sure that the house was opened by someone, was   _  .",force the burglars out,look around the rooms for the thieves,go to the doorman for help,sit down for a cup of tea in order to calm down,0.48,"[-23.221443892922252, -22.561539888381958, -25.604564690962434, -30.110457729548216]",1,1,1.0,1.0,0.592,1.0,0.755,B,C,False
1253,RACE-H,"What's the author's attitude towards ""poverty""?",Disappointed.,Objective.,Thankful.,Sad.,0.48,"[-21.843617916107178, -39.333580017089844, -24.31281328201294, -21.500092029571533]",3,1,0.9975028,0.0,1.469,0.0,1.783,D,A,False
1254,RACE-H,How did motivating  himself affect the author?,It focused him on improving his application essays.,It helped him with decision-making and got him to put in extra effort where necessary.,It allowed him to measure how effectively he was moving towards achieving the goals.,It helped him better communicate with others in his application for colleges and scholarships.,0.48,"[-39.232826828956604, -66.13252685591578, -60.95333011448383, -64.1920063495636]",0,1,0.9069569,1.0,2.156,0.0,2.69,A,D,False
1255,RACE-H,What can we conclude from the text?,Applying to a famous university is important.,It is essential to set yourself an ambitious goal as early as possible.,Poor people usually have greater goals than others.,You should be determined to act and make decisions in order to achieve your goals.,0.48,"[-36.20981043577194, -45.78528808057308, -44.44092482328415, -45.33075083605945]",0,3,0.864007,0.5,0.783,1.0,0.958,A,D,False
1256,RACE-H,We can learn from the text that Mr.Filio  _,was generous to young people,was good at word puzzles,lived quite near the restaurant,won a prize from the Philippine Star Newspaper,0.48,"[-21.35157060623169, -16.782070457935333, -30.551527857780457, -20.298389866948128]",1,1,1.0,0.75,1.017,1.0,1.377,B,C,False
1257,RACE-H,The author was given a gift because  _  .,Mr.Filio was thankful for her help.,Mr. Filio was satisfied with her service,she was the first person to beat Mr.Filio,she was the new record keeper in the restaurant,0.48,"[-30.051769411598798, -29.76697384286672, -22.539179583312944, -46.06190752983093]",2,2,1.0,1.0,1.72,1.0,2.352,C,B,False
1258,RACE-H,"After she heard what Mr. Filio said, the author probably felt  _  .",amazed,excited,touched,inspired,0.48,"[-25.70154857635498, -31.862526893615723, -27.793445587158203, -14.404247283935547]",3,3,0.9999999,0.0,1.295,0.0,1.746,D,A,False
1259,RACE-H,Why does the author congratulate his men readers at the beginning of the passage?,They are more likely to survive serious diseases today.,Their average life span has been greatly prolonged.,They have lived long enough to read this article.,They are sure to enjoy a longer and happier life.,0.48,"[-39.126165613532066, -42.320073783397675, -32.88831943273544, -43.56271105259657]",2,2,1.0,0.5,0.826,0.0,1.067,C,B,False
1260,RACE-H,"What does Dr. Ross Cartmill mean by ""the ostrich approach""? (Line 1, Para. 9)",A serious attitude to one's health conditions.,A new way to cure certain diseases.,Refusal to get medical treatment for fear of the pain.,Unwillingness to find out about one's disease because of fear.,0.48,"[-40.102940525859594, -35.17031407356262, -47.210687696933746, -50.70428683143109]",1,3,0.8623462,0.75,1.21,0.0,1.553,B,C,False
1261,RACE-H,What is Cartmill's opinion of regular check-ups for men?,They may increase public expenses.,They will save money in the long run.,They may cause trouble for men.,They will enable men to live as long as women.,0.48,"[-40.44996190071106, -28.464383579790592, -37.02316761016846, -36.21610391139984]",1,1,1.0,0.75,0.877,0.0,1.199,B,C,False
1262,RACE-H,From the passage we can know that Grace used to be   _  .,aggressive,troublesome,ignorant,competitive,0.48,"[-17.809978485107422, -56.86549663543701, -35.55649757385254, -18.108835220336914]",0,1,0.89625925,0.0,3.202,0.0,3.906,A,D,False
1263,RACE-H,How did Grace regain her eyesight?,By following the treatment from specialists.,By just trying what was taught in the local college.,By practicing the principles sought by herself.,By adopting the experience from other patients.,0.48,"[-36.686214089393616, -43.2515384554863, -41.67567563056946, -37.7067289352417]",0,2,0.88313246,0.25,0.543,0.0,0.657,A,D,False
