id,dataset,question,option_0,option_1,option_2,option_3,probing_accuracy,logits,prediction,gold,bertscore_f1,heuristic_dependence_score,reasoning_score,context_fidelity_score,shap_score,contrastive_prediction_original,contrastive_prediction_swapped,contrastive_robust
75,SATACT,Which quotation from a researcher would best support the student’s assertion?,"“In one site in the wild where transgenic fish were observed, females outnumbered males, while in another the numbers of females and males were equivalent.”","“Though some presence of transgenic fish in the wild has been recorded, there are insufficient studies of the impact of those fish on the ecosystems into which they are introduced.”",“The ecosystems into which transgenic fish are known to have been introduced may represent a subset of the ecosystems into which the fish have actually been introduced.”,"“Through interbreeding, transgenic fish might introduce the trait of fluorescence into wild fish populations, making those populations more vulnerable to predators.”",0.2,"[-109.04842899739742, -102.05333973979577, -104.61757213273086, -92.80417055543512]",3,3,1.0,1.0,1.188,1.0,1.624,D,A,False
76,SATACT,"Which finding, if true, would most directly support Shcherbakova and colleagues' claim?",Shcherbakova and colleagues' analysis showed a slightly negative correlation between grammatical complexity and fusion and between grammatical complexity and informativity.,Shcherbakova and colleagues' analysis showed a slightly negative correlation between grammatical complexity and exotericity.,Shcherbakova and colleagues' analysis showed a slightly positive correlation between grammatical complexity and fusion.,Shcherbakova and colleagues' analysis showed a slightly positive correlation between fusion and exotericity and between informativity and exotericity.,0.2,"[-49.38656550247106, -40.547849923197646, -41.542849040415604, -53.72313626209507]",1,3,0.9535163,1.0,1.097,1.0,1.318,B,C,False
77,SATACT,"In the sentence ""His glowing smile are evidence of his pride in the onions—the proof of his labor and love—and in me, the photographer, his son."", what is the best answer to replace the phrase ""are""?",NO CHANGE,is,were,OMIT the underlined portion.,0.2,"[-21.02025192975998, -6.798234462738037, -13.952644348144531, -37.077534794807434]",1,1,0.9999999,0.5,2.243,0.0,3.028,B,C,False
78,SATACT,Which choice completes the text with the most logical and precise word or phrase?,stymie,compound,disparage,outstrip,0.2,"[-18.74803102016449, -33.69004535675049, -32.92564618587494, -23.27590560913086]",0,0,1.0,0.0,1.272,0.0,1.494,A,D,False
79,SATACT,Which choice most logically completes the text?,most reviewers didn’t understand Grimes’s goal for One Last Word.,Grimes successfully used the golden shovel method to achieve her goal for One Last Word.,Langston Hughes and Georgia Douglas Johnson are two of Grimes’s favorite poets.,Grimes inspired many other writers to create poems using the golden shovel method.,0.2,"[-77.72592392982915, -60.539667612174526, -75.37251154659316, -59.27430954831652]",3,1,0.9075144,0.75,1.675,0.0,1.845,D,A,False
80,SATACT,Which quotation from “To You” most effectively illustrates the claim?,“Your true soul and body appear before me.”,"“Whoever you are, now I place my hand upon you, that you be my poem.”",“I should have made my way straight to you long ago.”,"“Whoever you are, I fear you are walking the walks of dreams.”",0.2,"[-49.63617247343063, -66.79129810631275, -47.77754259854555, -64.26831045746803]",2,0,0.8886975,0.75,1.697,1.0,1.901,C,B,False
81,SATACT,"In the sentence ""Intricate mosaics—enormous 'paintings' fashioned from millions of tiny cut stones of various colors—lining each of the basilica’s several smaller domes."", what is the best answer to replace the phrase ""lining""?",NO CHANGE,that line,line,lines,0.2,"[-22.62821137905121, -20.549769401550293, -13.957083702087402, -15.03967571258545]",2,2,1.0,0.25,0.728,0.0,0.867,C,B,False
82,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,places,placed,place,to place,0.2,"[-16.688199996948242, -17.075878143310547, -14.269180297851562, -18.598645210266113]",2,3,0.8868221,0.25,0.311,0.0,0.433,C,B,False
83,SATACT,Which quotation from “Valia” most effectively illustrates the claim?,"“The hand in which he carried his book was getting stiff with cold, but he would not ask his mother to take the book from him.”","“Valia was reading a huge, very huge book, almost half as large as himself.”",“Valia approached the window and examined the toys.”,"“Everything in the room was quiet, so quiet that the only thing to be heard was the rustling of the pages he turned.”",0.2,"[-104.1701455116272, -71.57810629252344, -57.992996354587376, -79.76702484115958]",2,3,0.8909066,1.0,3.36,0.0,4.618,C,B,False
84,SATACT,Which choice best states the main idea of the text?,"Although inhabiting a home surrounded by fanciful features such as those designed by Gins and Arakawa can be rejuvenating, it is unsustainable.",Designing disorienting spaces like those in the Gins and Arakawa building is the most effective way to create a physically stimulating environment.,"As a filmmaker, Yamaoka has long supported the designs of conceptual artists such as Gins and Arakawa.","Although impractical, the design of the apartment building by Gins and Arakawa may improve the well-being of the building's residents.",0.2,"[-85.73022464363021, -73.3167995515978, -56.12115627311141, -66.54889301866933]",2,3,0.8829477,1.0,2.15,0.0,2.961,C,B,False
