id,dataset,question,option_0,option_1,option_2,option_3,probing_accuracy,logits,prediction,actual,bertscore_f1,heuristic_dependence_score,reasoning_score,context_fidelity_score,shap_score,contrastive_prediction_original,contrastive_prediction_swapped,contrastive_robust
0,SATACT,Which choice best states the main purpose of the text?,It illustrates a character’s reaction to a new environment.,It explains why a character has traveled to a city.,It compares a character’s thoughts about an event at two different times of day.,It presents a character feeling regret over leaving home.,0.2,"[-34.51295042433776, -46.4838627576828, -63.716217504115775, -45.62644898891449]",0,3,1,1,2.088,1,2.92,A,D,FALSE
1,SATACT,Which choice completes the text with the most logical and precise word or phrase?,restricted,announced,distracted,influenced,0.2,"[-16.700597763061523, -16.09669303894043, -33.36330699920654, -44.65576362609863]",1,3,0.9994193,0,2.398,0,2.856,B,C,FALSE
2,SATACT,The student wants to emphasize the duration and purpose of Cohen's and Rodrigues's work. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"At the Gullah Museums in Hilton Head Island and Georgetown, South Carolina, visitors can learn more about the Gullah people who have lived in the region for centuries.","Louise Miller Cohen and Vermelle Rodrigues have worked to preserve the culture of the Gullah people, who have lived in the United States since the 18th century.","Since 2003, Louise Miller Cohen and Vermelle Rodrigues have worked to preserve Gullah culture through their museums.","Influenced by the traditions of West and Central Africa, Gullah culture developed in parts of the southeastern United States in the 18th century.",0.2,"[-82.7127027035749, -77.33894025767222, -49.26664705656003, -85.92354694427922]",2,1,0.86510456,1,2.9,0,3.666,C,B,FALSE
3,SATACT,Which choice completes the text with the most logical and precise word or phrase?,invented,adjusted,featured,recommended,0.2,"[-36.02285861968994, -16.933979034423828, -25.39698600769043, -31.723499298095703]",1,0,0.9991139,0,1.437,0,1.909,B,C,FALSE
4,SATACT,"Which finding, if true, would most directly support Armijo’s hypothesis?",The temperature inside the roasting drum is distributed more evenly when roasting green chiles with solar power than with propane.,Attempts to roast green chiles using 50 heliostats yields results in fewer than six minutes.,Green chile connoisseurs prefer the flavor of solar-roasted green chiles over the flavor of propane-roasted green chiles.,The skins of solar-roasted green chiles are easier to peel than the skins of propane-roasted green chiles.,0.2,"[-75.66548794554546, -61.16010244935751, -59.18025275366381, -55.33359414874576]",3,1,0.9068767,1,1.54,0,2.033,D,A,FALSE
5,SATACT,What does the text indicate about the geological formation at Mistaken Point?,It holds a greater number of fossils but from a smaller variety of species than the formation in the Minatogawa quarry does.,It has provided evidence that the earliest human species may have emerged before the Pleistocene era.,It is widely considered by paleontologists to be the most valuable source of information about prehistoric life forms.,It contains specimens from an older time period than those found in the formation in the Minatogawa quarry.,0.2,"[-76.19924089871347, -53.144457462243736, -60.442352056503296, -62.63624781742692]",1,0,0.8458835,1,1.667,0,2.305,B,C,FALSE
6,SATACT,Which choice completes the text with the most logical and precise word or phrase?,an imaginative,a superficial,an exhaustive,a questionable,0.2,"[-21.329991340637207, -19.538949012756348, -16.581482887268066, -20.547513008117676]",2,2,0.9259174,1,0.36,0,0.475,C,B,FALSE
7,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,varied:,"varied,","varied, while",varied while,0.2,"[-32.43747854232788, -32.99125051498413, -35.79997158050537, -38.657588958740234]",0,3,1.0000001,0,0.496,1,0.622,A,D,FALSE
8,SATACT,Which choice most logically completes the text?,aspects of the declaration were modeled on similar documents from other countries.,the French government may have been surprised by the declaration.,many Haitian people opposed the revolution and the declaration.,the declaration actually had several intended audiences.,0.2,"[-62.871006056666374, -46.90771013498306, -54.10885262489319, -40.99216425418854]",3,3,0.8748985,1,1.635,1,2.188,D,A,FALSE
9,SATACT,The main point of this passage is to:,illustrate the importance of genetics in the formation of a baby's brain.,illustrate the importance of stimulation and experience in the formation of a baby's brain.,indicate the great need for conducting further research on babies' brains.,compare the latest research on babies' brains with similar research conducted fifteen years ago.,0.2,"[-75.29588633030653, -76.48928164690733, -75.27834212779999, -74.93795454502106]",3,3,0.8980016,1,0.118,1,0.155,D,A,FALSE
10,SATACT,"According to the text, what is true about Dorian?",He wants to know Hallward’s opinion of the portrait.,He is delighted by what he sees in the portrait.,He prefers portraits to other types of paintings.,He is uncertain of Hallward’s talent as an artist.,0.2,"[-41.81278570834547, -26.576172083616257, -45.51572172343731, -56.62951473193243]",1,3,0.9063421,1,2.151,0,3.005,B,C,FALSE
11,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,flew,were flying,had flown,fly,0.2,"[-27.980856895446777, -19.8225154876709, -19.50354290008545, -13.51026725769043]",3,0,0.99933213,0,1.029,0,1.447,D,A,FALSE
12,SATACT,Which choice most logically completes the text?,it can’t be concluded that the impact that made the crater was connected to the beginning of the Younger Dryas.,it can’t be determined whether a comet fragment could make a crater as large as 19 miles wide.,scientists have ignored the possibility that something other than a comet fragment could have made the crater.,the scientists who believe an impact caused the Younger Dryas have made incorrect assumptions about when the period began.,0.2,"[-65.81160212680697, -60.46494071930647, -74.22898432612419, -57.85354880802333]",3,0,0.89328855,1,1.252,1,1.638,D,A,FALSE
13,SATACT,"The Mule Bone, a 1930 play written by Zora Neale Hurston and Langston Hughes, is perhaps the best-known of the few examples of in literature. Most writers prefer working alone, and given that working together cost Hurston and Hughes their friendship, it is not hard to see why. Which choice completes the text with the most logical and precise word or phrase?",characterization,interpretation,collaboration,commercialization,0.2,"[-27.875770568847656, -27.465805053710938, -43.84758377075195, -20.54476022720337]",3,3,0.87154007,0,1.709,0,2.33,D,A,FALSE
14,SATACT,The student wants to emphasize how Romney wool differs from Merino and Rambouillet wool. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Romney wool is just one of the many kinds of wools, each originating from a different breed of sheep.","Sheep wool varies from breed to breed, so Romney wool will be different than other kinds of wool.","The fine wool produced by Merino and Rambouillet sheep is used for apparel, whereas the thicker wool of Romney sheep is used in rugs and blankets.",Wool is an economically important fiber—especially in Australia—that can be used to make apparel or even rugs and blankets.,0.2,"[-62.90179904550314, -78.5941114500165, -52.29791717272019, -79.59697301127017]",2,2,0.8484079,1,2.278,1,2.73,C,B,FALSE
15,SATACT,"Which choice best states the function of the portion in the text, “Before the discovery, Denisovans were thought to have lived only at high altitudes in relatively cold climates in what are now Russia and China” as a whole?",It dismisses as untrue the research presented in the previous sentence.,It defines a term used in the description that follows in the rest of the sentence.,It emphasizes the main goal of the research introduced in the previous sentence.,It provides context that clarifies the significance of the information that follows in the rest of the sentence.,0.2,"[-54.34367695823312, -58.4982558041811, -56.88207006454468, -56.668634495697916]",0,3,1,1,0.296,0,0.415,A,D,FALSE
16,SATACT,Which choice completes the text with the most logical and precise word or phrase?,uncertainty about,indicator of,motivation for,criticism of,0.2,"[-52.592995166778564, -30.657533049583435, -35.32705616950989, -33.45271098613739]",1,2,0.90835863,0,1.717,0,2.194,B,C,FALSE
17,SATACT,Which choice completes the text with the most logical transition?,"Specifically,","Next,","For instance,","In sum,",0.2,"[-14.031883329153061, -13.125320434570312, -18.22583617269993, -18.511964440345764]",1,0,0.9900633,0,0.484,0,0.539,B,C,FALSE
